rest,scr,id
9.15,R2 U2 B' R2 B' U2 B2 U2 F' R' F R2 D2 B2 U B' R D2 B ,92
9.15,U' D R L2 F R D2 F2 R2 B R2 B2 D' L2 D R2 F2 U' L2 D2 ,93
9.16,U2 F2 U2 F2 U2 L2 B2 L2 D R B2 D2 B U' F2 R D' R F' ,94
9.17,R U2 L' D2 L' B2 U2 B2 D' U' B2 F U L R2 D2 U2 B F ,95
9.18,U2 R U2 L' U2 B2 F2 L D2 F2 D B L2 U2 L D2 F2 L D2 ,96
9.19,L U2 L B2 L' D2 B2 D2 U2 R' F D' U' B' L' B F U2 F2 L ,97
9.19,L D2 L2 D' F' D2 F2 L D L D B2 D R2 L2 D2 L2 U' L2 ,98
9.22,F L F' U B L2 B U L D2 L2 U2 D F2 D2 R2 F2 U' ,99
9.23,R2 U D2 F R2 B2 U2 R' D L B2 L2 B' D2 F' L2 B' R2 ,100
9.24,B2 L2 R2 F' L2 B2 F R2 D2 R' D2 F' D2 B F' U B2 D' R2 ,101
9.24,L U2 R' F2 U2 R' U2 R' B' D2 U' L' U2 R B L2 B U' L' ,102
9.24,F2 U2 R D' B' R2 B R' F R2 U2 F2 U R2 U2 L2 F2 R2 D' B2 ,103
9.24,R2 B' R2 B F2 U2 B U2 F' R' D U L U' F2 D U' B' U' L' ,104
9.26,L2 D2 B' R2 B R2 F2 L2 R2 B' U R2 F' R2 D L' U' B L2 U' ,105
9.26,D2 F2 D' F2 R2 U' B2 D2 F2 L2 R' F U' R2 D2 F' R2 B2 D ,106
9.26,U2 R' F' R' L' B D' B' U D2 F2 U2 D2 F2 R2 L F2 R L B2 ,107
9.26,D2 F2 U F2 U R2 U' L2 U F2 U2 F R F' D2 F2 L B2 L D F' ,108
9.26,L B2 D2 L2 U2 R B2 L2 D2 B' L' R' D B R' F2 L R2 B2 ,109
9.27,R' D B2 R U2 F2 L' B' U F R2 L2 U2 R2 B L2 F2 R2 L2 ,110
9.27,U R2 D' F2 U F2 U' L2 B2 R D' B F2 L' R2 D2 B' D2 ,111
9.27,D L2 B2 U' B2 L2 D2 L2 R2 F U' B' U F2 L D' R D2 B2 R2 ,112
